ral_id|query_id|source|sink
0|618949459|900000042|0
0|618949459|0|900000043
0|618949459|900000043|2
0|1755100745|1|900000044
0|1755100745|900000044|0
0|1755100745|0|900000045
0|1755100745|900000045|2
0|1523437723|2|900000046
0|1523437723|900000046|1
0|1523437723|1|900000047
0|1523437723|900000047|0
0|1523437723|0|900000048
0|1523437723|900000048|3
0|1137548767|2|900000049
0|1137548767|900000049|1
0|1137548767|1|900000050
0|1137548767|900000050|0
0|1137548767|0|900000051
0|1137548767|900000051|3
0|2102121298|2|900000052
0|2102121298|900000052|1
0|2102121298|1|900000053
0|2102121298|900000053|0
0|2102121298|0|900000054
0|2102121298|900000054|3
0|702494168|2|900000055
0|702494168|900000055|1
0|702494168|1|900000056
0|702494168|900000056|0
0|702494168|0|900000057
0|702494168|900000057|3
0|1570794929|6|900000058
0|1570794929|900000058|5
0|1570794929|5|900000059
0|1570794929|900000059|4
0|1570794929|4|900000060
0|1570794929|900000060|3
0|1570794929|3|900000061
0|1570794929|900000061|2
0|1570794929|3|900000062
0|1570794929|900000062|2
0|1570794929|2|900000063
0|1570794929|900000063|1
0|1570794929|2|900000064
0|1570794929|900000064|1
0|1570794929|2|900000065
0|1570794929|900000065|1
0|1570794929|2|900000066
0|1570794929|900000066|1
0|1570794929|2|900000067
0|1570794929|900000067|1
0|1570794929|2|900000068
0|1570794929|900000068|1
0|1570794929|2|900000069
0|1570794929|900000069|1
0|1570794929|2|900000070
0|1570794929|900000070|1
0|1570794929|1|900000071
0|1570794929|900000071|0
0|1570794929|0|900000072
0|1570794929|900000072|7
0|759217367|1|900000073
0|759217367|900000073|0
0|759217367|0|900000074
0|759217367|900000074|2
0|1790848970|2|900000075
0|1790848970|900000075|1
0|1790848970|1|900000076
0|1790848970|900000076|0
0|1790848970|0|900000077
0|1790848970|900000077|3
0|794829222|2|900000078
0|794829222|900000078|1
0|794829222|1|900000079
0|794829222|900000079|0
0|794829222|0|900000080
0|794829222|900000080|3
0|909517477|2|900000081
0|909517477|900000081|1
0|909517477|1|900000082
0|909517477|900000082|0
0|909517477|0|900000083
0|909517477|900000083|3
0|651099984|2|900000084
0|651099984|900000084|1
0|651099984|1|900000085
0|651099984|900000085|0
0|651099984|0|900000086
0|651099984|900000086|3
0|1789947287|2|900000087
