ral_id|query_id|kernel_id|is_kernel|kernel_type
0|1617314485|1|1|ComputeAggregateKernel
0|1617314485|2|1|ProjectKernel
0|1617314485|3|1|BindableTableScanKernel
0|1617314485|900000038|0|cache
0|1617314485|900000039|0|cache
0|1617314485|900000040|0|cache
0|1617314485|4|1|OutputKernel
0|1617314485|900000041|0|cache
0|1291270184|0|1|ProjectKernel
0|1291270184|1|1|BindableTableScanKernel
0|1291270184|900000042|0|cache
0|1291270184|2|1|OutputKernel
0|1291270184|900000043|0|cache
0|632273272|0|1|MergeAggregateKernel
0|632273272|1|1|ComputeAggregateKernel
0|632273272|2|1|ProjectKernel
0|632273272|3|1|BindableTableScanKernel
0|632273272|900000000|0|cache
0|632273272|900000001|0|cache
0|632273272|900000002|0|cache
0|632273272|4|1|OutputKernel
0|632273272|900000003|0|cache
0|1455289496|0|1|LimitKernel
0|1455289496|1|1|TableScanKernel
0|1455289496|900000004|0|cache
0|1455289496|2|1|OutputKernel
0|1455289496|900000005|0|cache
0|1804513459|0|1|MergeAggregateKernel
0|1804513459|1|1|ComputeAggregateKernel
0|1804513459|2|1|ProjectKernel
0|1804513459|3|1|BindableTableScanKernel
0|1804513459|900000006|0|cache
0|1804513459|900000007|0|cache
0|1804513459|900000008|0|cache
0|1804513459|4|1|OutputKernel
0|1804513459|900000009|0|cache
0|2030158333|0|1|LimitKernel
0|2030158333|1|1|TableScanKernel
0|2030158333|900000010|0|cache
0|2030158333|2|1|OutputKernel
0|2030158333|900000011|0|cache
0|561310104|0|1|MergeAggregateKernel
0|561310104|1|1|ComputeAggregateKernel
0|561310104|2|1|ProjectKernel
0|561310104|3|1|BindableTableScanKernel
0|561310104|900000012|0|cache
0|561310104|900000013|0|cache
0|561310104|900000014|0|cache
0|561310104|4|1|OutputKernel
0|561310104|900000015|0|cache
0|1215787452|0|1|MergeAggregateKernel
0|1215787452|1|1|ComputeAggregateKernel
0|1215787452|2|1|ProjectKernel
0|1215787452|3|1|BindableTableScanKernel
