ral_id|query_id|source|sink|num_rows|num_bytes|event_type|timestamp_begin|timestamp_end
0|1563275723|900000032|2|36|1017|removeCache|1599631464602|1599631464602
0|1563275723|2|900000034|36|1017|addCache|1599631464603|1599631464603
0|1563275723|900000034|1|36|1017|removeCache|1599631464603|1599631464603
0|1563275723|1|900000042|36|1017|addCache|1599631464603|1599631464603
0|1563275723|900000042|0|36|1017|removeCache|1599631464603|1599631464603
0|1563275723|0|900000043|36|1017|addCache|1599631464603|1599631464603
0|1563275723|900000043|7|36|1017|removeCache|1599631464603|1599631464603
0|1511722598|6|900000044|233539|2772426|addCache|1599631470328|1599631470329
0|1511722598|900000044|5|233539|2772426|removeCache|1599631470329|1599631470329
0|1511722598|5|900000045|36|873|addCache|1599631470330|1599631470330
0|1511722598|900000045|4|36|873|removeCache|1599631470330|1599631470330
0|1511722598|4|900000046|36|1017|addCache|1599631470331|1599631470331
0|1511722598|900000046|3|36|1017|removeCache|1599631470331|1599631470332
0|1511722598|3|900000047|36|1017|addCache|1599631470332|1599631470332
0|1511722598|3|900000048|0|0|addCache|1599631470333|1599631470333
0|1511722598|900000048|2|0|0|removeCache|1599631470328|1599631470333
0|1511722598|900000047|2|36|1017|removeCache|1599631470333|1599631470333
0|1511722598|2|900000049|36|1017|addCache|1599631470334|1599631470334
0|1511722598|900000049|1|36|1017|removeCache|1599631470334|1599631470334
0|1511722598|1|900000057|36|1017|addCache|1599631470334|1599631470334
0|1511722598|900000057|0|36|1017|removeCache|1599631470334|1599631470334
0|1511722598|0|900000058|10|220|addCache|1599631470334|1599631470334
0|1511722598|900000058|7|10|220|removeCache|1599631470334|1599631470334
