ral_id|query_id|source|sink
0|1907688968|900000004|2
0|1907688968|2|900000005
0|1907688968|900000005|1
0|1907688968|2|900000006
0|1907688968|900000006|1
0|1907688968|2|900000007
0|1907688968|900000007|1
0|1907688968|2|900000008
0|1907688968|900000008|1
0|1907688968|2|900000009
0|1907688968|900000009|1
0|1907688968|2|900000010
0|1907688968|900000010|1
0|1907688968|2|900000011
0|1907688968|900000011|1
0|1907688968|2|900000012
0|1907688968|900000012|1
0|1907688968|1|900000013
0|1907688968|900000013|0
0|1907688968|0|900000014
0|1907688968|900000014|7
0|1242046241|3|900000015
0|1242046241|900000015|2
0|1242046241|2|900000016
0|1242046241|900000016|1
0|1242046241|1|900000017
0|1242046241|900000017|0
0|1242046241|0|900000018
0|1242046241|900000018|4
0|955398365|2|900000019
0|955398365|900000019|1
0|955398365|1|900000020
0|955398365|900000020|0
0|955398365|0|900000021
0|955398365|900000021|3
0|1603934530|3|900000022
0|1603934530|900000022|2
0|1603934530|2|900000023
0|1603934530|900000023|1
0|1603934530|1|900000024
0|1603934530|900000024|0
0|1603934530|0|900000025
0|1603934530|900000025|4
0|2113528336|3|900000026
0|2113528336|900000026|2
0|2113528336|2|900000027
0|2113528336|900000027|1
0|2113528336|1|900000028
0|2113528336|900000028|0
0|2113528336|0|900000029
0|2113528336|900000029|4
0|538384221|1|900000030
0|538384221|900000030|0
0|538384221|0|900000031
0|538384221|900000031|2
0|1366512674|1|900000032
0|1366512674|900000032|0
0|1366512674|0|900000033
0|1366512674|900000033|2
0|769274587|2|900000034
0|769274587|900000034|1
0|769274587|1|900000035
0|769274587|900000035|0
0|769274587|0|900000036
0|769274587|900000036|3
0|1912896397|3|900000037
0|1912896397|900000037|2
0|1912896397|2|900000038
0|1912896397|900000038|1
0|1912896397|1|900000039
0|1912896397|900000039|0
0|1912896397|0|900000040
0|1912896397|900000040|4
0|346383383|3|900000041
0|346383383|900000041|2
0|346383383|2|900000042
0|346383383|900000042|1
0|346383383|1|900000043
0|346383383|900000043|0
0|346383383|0|900000044
0|346383383|900000044|4
0|270361919|4|900000045
0|270361919|900000045|3
0|270361919|3|900000046
0|270361919|900000046|2
0|270361919|2|900000047
0|270361919|900000047|1
0|270361919|1|900000048
0|270361919|900000048|0
0|270361919|8|900000049
0|270361919|900000049|7
0|270361919|7|900000050
0|270361919|900000050|6
0|270361919|6|900000051
0|270361919|900000051|5
0|270361919|5|900000052
0|270361919|900000052|0
0|270361919|0|900000053
0|270361919|900000053|9
0|1991922956|18|900000054
0|1991922956|900000054|17
0|1991922956|17|900000055
0|1991922956|900000055|16
0|1991922956|16|900000056
0|1991922956|900000056|15
0|1991922956|15|900000057
0|1991922956|900000057|14
0|1991922956|22|900000058
0|1991922956|900000058|21
0|1991922956|21|900000059
0|1991922956|900000059|20
0|1991922956|20|900000060
0|1991922956|900000060|19
0|1991922956|19|900000061
0|1991922956|900000061|14
0|1991922956|14|900000062
0|1991922956|900000062|13
0|1991922956|26|900000063
0|1991922956|900000063|25
0|1991922956|25|900000064
