ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|1078295658|48|2|10|2|18|compute|1599717915631|1599717915642
0|1078295658|52|2|10|2|18|compute|1599717915631|1599717915643
0|1078295658|24|2|10|2|18|compute|1599717915629|1599717915643
0|1078295658|68|2|10|2|18|compute|1599717915633|1599717915644
0|1078295658|32|2|10|2|18|compute|1599717915633|1599717915644
0|1078295658|36|1|5|1|9|compute|1599717915631|1599717915644
0|1078295658|44|2|10|2|18|compute|1599717915630|1599717915644
0|1078295658|56|1|5|1|9|compute|1599717915632|1599717915644
0|1078295658|28|2|10|2|18|compute|1599717915631|1599717915645
0|1078295658|16|1|5|1|9|compute|1599717915632|1599717915645
0|1078295658|60|2|10|2|18|compute|1599717915633|1599717915647
0|1078295658|76|2|10|2|18|compute|1599717915634|1599717915647
0|1078295658|40|2|10|2|18|compute|1599717915634|1599717915648
0|1078295658|72|2|10|2|18|compute|1599717915634|1599717915648
0|1078295658|64|2|10|2|18|compute|1599717915633|1599717915650
0|1078295658|23|2|18|2|46|compute|1599717915643|1599717915651
0|1078295658|19|2|18|2|50|compute|1599717915643|1599717915651
0|1078295658|15|1|9|1|30|compute|1599717915645|1599717915652
0|1078295658|39|2|18|2|56|compute|1599717915648|1599717915655
0|1078295658|35|1|9|1|29|compute|1599717915644|1599717915655
0|1078295658|71|2|18|2|68|compute|1599717915650|1599717915655
0|1078295658|51|2|18|2|54|compute|1599717915646|1599717915656
0|1078295658|59|2|18|2|72|compute|1599717915647|1599717915656
0|1078295658|47|2|18|2|54|compute|1599717915646|1599717915656
0|1078295658|27|2|18|2|50|compute|1599717915646|1599717915656
0|1078295658|31|2|18|2|58|compute|1599717915644|1599717915657
0|1078295658|63|2|18|2|56|compute|1599717915650|1599717915657
0|1078295658|55|1|9|1|28|compute|1599717915647|1599717915657
0|1078295658|43|2|18|2|64|compute|1599717915645|1599717915657
0|1078295658|67|2|18|2|68|compute|1599717915648|1599717915657
0|1078295658|75|2|18|2|46|compute|1599717915651|1599717915658
0|321101660|1|29|769|14|373|compute|1599717915672|1599717915676
0|321101660|0|14|373|14|485|compute|1599717915676|1599717915682
0|1418420200|0|233539|334471316|93944|160792461|compute|1599717971388|1599717971469
0|484519324|0|233539|334471316|93944|160792461|compute|1599718157820|1599718157916
0|1329278994|3|93944|1127332|93944|1127332|compute|1599718157929|1599718157929
0|1329278994|2|93944|1127332|93944|93944|compute|1599718157930|1599718157930
0|1329278994|1|93944|93944|1|8|compute|1599718157931|1599718157931
0|1329278994|0|1|8|1|8|compute|1599718157931|1599718157931
0|1209431142|1|93944|154220553|93944|154220553|compute|1599718233688|1599718233688
0|1209431142|0|93944|154220553|93944|1503104|compute|1599718233769|1599718233791
0|1938798678|26|93944|93944|93944|93944|compute|1599718233819|1599718233819
0|1938798678|18|93944|93944|93944|93944|compute|1599718233819|1599718233819
0|1938798678|22|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|38|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|54|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|66|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|42|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|62|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|46|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|70|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|58|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|50|93944|93944|93944|93944|compute|1599718233820|1599718233820
0|1938798678|74|93944|93944|93944|93944|compute|1599718233821|1599718233821
0|1938798678|34|93944|93944|93944|93944|compute|1599718233820|1599718233821
0|1938798678|30|93944|93944|93944|93944|compute|1599718233821|1599718233821
0|1938798678|78|93944|93944|93944|93944|compute|1599718233823|1599718233823
0|1938798678|53|93944|93944|2|10|compute|1599718233831|1599718233834
0|1938798678|29|93944|93944|2|10|compute|1599718233824|1599718233834
0|1938798678|25|93944|93944|2|10|compute|1599718233823|1599718233835
0|1938798678|17|93944|93944|1|5|compute|1599718233823|1599718233836
0|1938798678|33|93944|93944|2|10|compute|1599718233824|1599718233838
0|1938798678|21|93944|93944|2|10|compute|1599718233823|1599718233840
0|1938798678|49|93944|93944|2|10|compute|1599718233835|1599718233841
0|1938798678|41|93944|93944|2|10|compute|1599718233824|1599718233842
0|1938798678|57|93944|93944|1|5|compute|1599718233835|1599718233843
0|1938798678|77|93944|93944|1|5|compute|1599718233835|1599718233844
0|1938798678|65|93944|93944|2|10|compute|1599718233835|1599718233844
0|1938798678|61|93944|93944|1|5|compute|1599718233835|1599718233845
0|1938798678|69|93944|93944|1|5|compute|1599718233839|1599718233845
0|1938798678|45|93944|93944|1|5|compute|1599718233824|1599718233846
0|1938798678|32|2|10|2|18|compute|1599718233839|1599718233847
0|1938798678|16|1|5|1|9|compute|1599718233836|1599718233848
0|1938798678|24|2|10|2|18|compute|1599718233839|1599718233854
0|1938798678|73|93944|93944|2|10|compute|1599718233839|1599718233855
0|1938798678|28|2|10|2|18|compute|1599718233839|1599718233856
0|1938798678|37|93944|93944|1|5|compute|1599718233839|1599718233856
0|1938798678|15|1|9|1|30|compute|1599718233854|1599718233859
0|1938798678|52|2|10|2|18|compute|1599718233844|1599718233860
0|1938798678|40|2|10|2|18|compute|1599718233842|1599718233860
0|1938798678|64|2|10|2|18|compute|1599718233846|1599718233861
0|1938798678|72|2|10|2|18|compute|1599718233856|1599718233862
0|1938798678|56|1|5|1|9|compute|1599718233844|1599718233862
0|1938798678|23|2|18|2|46|compute|1599718233856|1599718233862
0|1938798678|60|1|5|1|9|compute|1599718233845|1599718233865
0|1938798678|68|1|5|1|9|compute|1599718233846|1599718233865
0|1938798678|76|1|5|1|9|compute|1599718233848|1599718233867
0|1938798678|27|2|18|2|50|compute|1599718233856|1599718233867
0|1938798678|44|1|5|1|9|compute|1599718233846|1599718233867
0|1938798678|36|1|5|1|9|compute|1599718233856|1599718233868
0|1938798678|51|2|18|2|54|compute|1599718233862|1599718233868
0|1938798678|31|2|18|2|58|compute|1599718233859|1599718233869
0|1938798678|55|1|9|1|28|compute|1599718233862|1599718233870
0|1938798678|59|1|9|1|38|compute|1599718233865|1599718233871
0|1938798678|20|2|10|2|18|compute|1599718233841|1599718233872
0|1938798678|39|2|18|2|56|compute|1599718233861|1599718233872
0|1938798678|48|2|10|2|18|compute|1599718233843|1599718233873
0|1938798678|35|1|9|1|29|compute|1599718233868|1599718233874
0|1938798678|67|1|9|1|36|compute|1599718233867|1599718233875
0|1938798678|19|2|18|2|50|compute|1599718233873|1599718233876
0|1938798678|43|1|9|1|34|compute|1599718233868|1599718233876
0|1938798678|47|2|18|2|54|compute|1599718233873|1599718233876
0|1938798678|75|1|9|1|25|compute|1599718233869|1599718233877
0|1938798678|71|2|18|2|68|compute|1599718233868|1599718233878
0|1938798678|63|2|18|2|56|compute|1599718233866|1599718233879
0|91742843|1|25|652|11|290|compute|1599718233901|1599718233905
0|91742843|0|11|290|11|378|compute|1599718233906|1599718233912
0|1894910819|31|93944|2689144|93944|2689144|compute|1599718298796|1599718298796
0|1894910819|21|93944|10519032|93944|10519032|compute|1599718298796|1599718298796
0|1894910819|46|93944|3383200|93944|3383200|compute|1599718298796|1599718298796
0|1894910819|41|93944|7387460|93944|7387460|compute|1599718298796|1599718298796
0|1894910819|26|93944|9158639|93944|9158639|compute|1599718298796|1599718298796
0|1894910819|16|93944|135779475|93944|135779475|compute|1599718298797|1599718298797
0|1894910819|36|93944|102642000|93944|102642000|compute|1599718298799|1599718298799
0|1894910819|45|93944|3383200|68086|3276504|compute|1599718298847|1599718299018
0|1894910819|30|93944|2689144|91339|2678379|compute|1599718298894|1599718299021
0|1894910819|35|93944|102642000|76735|102387581|compute|1599718298894|1599718299024
0|1894910819|40|93944|7387460|93938|7387016|compute|1599718298894|1599718299024
0|1894910819|20|93944|10519032|93944|10519032|compute|1599718298935|1599718299027
0|1894910819|25|93944|9158639|92725|9083654|compute|1599718298895|1599718299033
0|1894910819|39|93938|7387016|93938|7387016|compute|1599718299027|1599718299144
0|1894910819|19|93944|10519032|93944|10519032|compute|1599718299028|1599718299144
0|1894910819|29|91339|2678379|91339|2678379|compute|1599718299021|1599718299145
0|1894910819|44|68086|3276504|68086|3276504|compute|1599718299021|1599718299146
0|1894910819|38|93938|7387016|1|8|compute|1599718299144|1599718299146
0|1894910819|34|76735|102387581|76735|102387581|compute|1599718299026|1599718299147
0|1894910819|28|91339|2678379|1|8|compute|1599718299145|1599718299153
0|1894910819|43|68086|3276504|1|8|compute|1599718299146|1599718299154
0|1894910819|18|93944|10519032|1|8|compute|1599718299145|1599718299154
0|1894910819|24|92725|9083654|92725|9083654|compute|1599718299034|1599718299155
0|1894910819|37|1|8|1|8|compute|1599718299152|1599718299155
0|1894910819|33|76735|102387581|1|8|compute|1599718299147|1599718299156
0|1894910819|17|1|8|1|8|compute|1599718299154|1599718299159
0|1894910819|23|92725|9083654|1|8|compute|1599718299155|1599718299159
0|1894910819|42|1|8|1|8|compute|1599718299154|1599718299160
0|1894910819|27|1|8|1|8|compute|1599718299153|1599718299160
0|1894910819|22|1|8|1|8|compute|1599718299160|1599718299160
0|1894910819|32|1|8|1|8|compute|1599718299159|1599718299163
0|1894910819|15|93944|135779475|93944|136343139|compute|1599718299160|1599718299204
0|1894910819|14|93944|136343139|1|56|compute|1599718299205|1599718299206
0|1894910819|13|1|56|1|56|compute|1599718299209|1599718299211
0|1894910819|12|1|56|1|56|compute|1599718299211|1599718299218
0|1894910819|11|2|64|1|64|compute|1599718299219|1599718299220
0|1894910819|10|1|64|1|80|compute|1599718299220|1599718299229
0|1894910819|9|2|88|1|88|compute|1599718299230|1599718299231
0|1894910819|8|1|88|1|104|compute|1599718299231|1599718299243
0|1894910819|7|2|112|1|112|compute|1599718299244|1599718299244
0|1894910819|6|1|112|1|128|compute|1599718299244|1599718299258
0|1894910819|5|2|136|1|136|compute|1599718299259|1599718299260
0|1894910819|4|1|136|1|152|compute|1599718299260|1599718299276
0|1894910819|3|2|160|1|160|compute|1599718299277|1599718299278
0|1894910819|2|1|160|1|176|compute|1599718299278|1599718299296
